file,column,dtype,rows,null_rate,unique
checkins.csv,engagement_id,str,9544,0.0,1200
checkins.csv,checkin_date,str,9544,0.0,40
checkins.csv,note,str,9544,0.0,12
client_feedback.csv,engagement_id,str,9544,0.0,1200
client_feedback.csv,feedback_date,str,9544,0.0,40
client_feedback.csv,rating,float64,9544,0.0,304
client_feedback.csv,comment,str,9544,0.0,12
clients.csv,client_id,str,60,0.0,60
clients.csv,client_name,str,60,0.0,60
clients.csv,industry,str,60,0.0,8
clients.csv,company_size,str,60,0.0,3
clients.csv,account_manager_id,str,60,0.0,15
engagement_health.csv,engagement_id,str,9544,0.0,1200
engagement_health.csv,as_of_date,str,9544,0.0,40
engagement_health.csv,performance_health,float64,9544,0.0,2708
engagement_health.csv,client_feedback_health,float64,9544,0.0,3512
engagement_health.csv,milestone_health,float64,9544,0.0,3985
engagement_health.csv,utilisation_health,float64,9544,0.0,2485
engagement_health.csv,sentiment_health,float64,9544,0.0,3946
engagement_health.csv,behs,float64,9544,0.0,2986
engagement_health.csv,health_band,str,9544,0.0,3
engagement_health.csv,churn_next_90d,int64,9544,0.0,2
engagements.csv,engagement_id,str,1200,0.0,1200
engagements.csv,client_id,str,1200,0.0,60
engagements.csv,talent_id,str,1200,0.0,453
engagements.csv,role,str,1200,0.0,7
engagements.csv,start_date,str,1200,0.0,32
engagements.csv,expected_end_date,str,1200,0.0,38
engagements.csv,monthly_contract_value,float64,1200,0.0,1200
engagements.csv,status,str,1200,0.0,2
engagements.csv,termination_date,str,1200,0.7508,37
engagements.csv,outcome,str,1200,0.0,3
latest_exposure.csv,engagement_id,str,1200,0.0,1200
latest_exposure.csv,as_of_date,str,1200,0.0,37
latest_exposure.csv,performance_health,float64,1200,0.0,1011
latest_exposure.csv,client_feedback_health,float64,1200,0.0,1043
latest_exposure.csv,milestone_health,float64,1200,0.0,1013
latest_exposure.csv,utilisation_health,float64,1200,0.0,936
latest_exposure.csv,sentiment_health,float64,1200,0.0,1082
latest_exposure.csv,behs,float64,1200,0.0,1026
latest_exposure.csv,health_band,str,1200,0.0,3
latest_exposure.csv,churn_next_90d,int64,1200,0.0,2
latest_exposure.csv,monthly_contract_value,float64,1200,0.0,1200
latest_exposure.csv,expected_end_date,str,1200,0.0,38
latest_exposure.csv,remaining_months,int64,1200,0.0,13
latest_exposure.csv,contract_exposure,float64,1200,0.0,549
latest_exposure.csv,heuristic_risk_probability,float64,1200,0.0,1026
latest_exposure.csv,risk_adjusted_exposure,float64,1200,0.0,549
performance_reviews.csv,engagement_id,str,9544,0.0,1200
performance_reviews.csv,review_date,str,9544,0.0,40
performance_reviews.csv,technical_score,float64,9544,0.0,3073
performance_reviews.csv,delivery_score,float64,9544,0.0,3439
performance_reviews.csv,communication_score,float64,9544,0.0,3536
performance_reviews.csv,overall_score,float64,9544,0.0,3097
placement_outcomes.csv,engagement_id,str,1200,0.0,1200
placement_outcomes.csv,outcome_date,str,1200,0.0,41
placement_outcomes.csv,outcome_type,str,1200,0.0,3
placement_outcomes.csv,successful,bool,1200,0.0,2
project_milestones.csv,engagement_id,str,9544,0.0,1200
project_milestones.csv,milestone_name,str,9544,0.0,13
project_milestones.csv,due_date,str,9544,0.0,40
project_milestones.csv,completion_date,str,9544,0.0,469
project_milestones.csv,status,str,9544,0.0,2
project_milestones.csv,delay_days,int64,9544,0.0,19
talents.csv,talent_id,str,500,0.0,500
talents.csv,talent_name,str,500,0.0,500
talents.csv,role,str,500,0.0,7
talents.csv,seniority,str,500,0.0,4
talents.csv,years_experience,float64,500,0.0,119
talents.csv,primary_skill,str,500,0.0,10
talents.csv,location,str,500,0.0,5
timesheets.csv,engagement_id,str,9544,0.0,1200
timesheets.csv,period_start,str,9544,0.0,40
timesheets.csv,expected_hours,float64,9544,0.0,1
timesheets.csv,actual_hours,float64,9544,0.0,4998
timesheets.csv,utilisation_rate,float64,9544,0.0,3796
